couplings,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,gapE0,gapE1,gapE2,gapE3,gapE4,gapE5,gapE6,gapE7,gapE8,elec,magn
0.49,-0.4898487321079087,3.0983212965759774,3.0983212965759837,3.311982171428483,3.312491776890741,3.315618510436504,3.3787247582808093,3.4604173825954603,3.4604173825954776,3.628067951028992,3.5881700286838862,3.5881700286838925,3.8018309035363917,3.80234050899865,3.8054672425444127,3.868573490388718,3.950266114703369,3.9502661147033864,4.117916683136901,1.0439480813732445,-2.086249497159721
0.5,-0.5221518462305352,2.947814821850281,2.947814821850295,3.1688767529504567,3.169515988307677,3.1731045791781556,3.248145851203641,3.3426963048798566,3.3426963048798677,3.342696304879877,3.469966668080816,3.46996666808083,3.691028599180992,3.6916678345382126,3.695256425408691,3.7702976974341764,3.864848151110392,3.8648481511104027,3.8648481511104125,1.1445125777000684,-2.1888162701611247
0.51,-0.5565776143126079,2.791406206705746,2.791406206705749,3.0192463688107396,3.020040430587247,3.024142434958987,3.1134566939345416,3.2230240127779233,3.2230240127779237,3.2230240127779264,3.347983821018354,3.3479838210183566,3.5758239831233474,3.576618044899855,3.5807200492715947,3.6700343082471494,3.779601627090531,3.7796016270905315,3.779601627090534,1.2565590603432524,-2.298610889962355
0.52,-0.5933273780732838,2.6283065553914455,2.6283065553914526,2.862091493202744,2.8630629796865588,2.867726558589875,2.974091084920087,3.101294959802287,3.10129495980229,3.101294959802297,3.2216339334647293,3.2216339334647364,3.4554188712760276,3.4563903577598425,3.4610539366631587,3.5674184629933707,3.694622337875571,3.6946223378755736,3.6946223378755807,1.3819836941060193,-2.4166914447003336
0.53,-0.6326355225452823,2.457589636044135,2.457589636044174,2.696238943531345,2.6973989066119177,2.7026625250475855,2.8293302677839534,2.977396766570379,2.9773967665703847,2.9773967665703966,3.0902251585894174,3.090225158589456,3.3288744660766274,3.3300344291572,3.3352980475928677,3.4619657903292356,3.610032289115661,3.610032289115667,3.610032289115679,1.5231578727945763,-2.54437683539384
0.54,-0.674778057193023,2.2781786859471107,2.2781786859471476,2.5203356579742073,2.5216657927024206,2.527548889300745,2.678237267792006,2.851209784609866,2.851209784609868,2.8512097846098836,2.952956743140134,2.9529567431401706,3.1951137151672304,3.1964438498954437,3.202326946493768,3.353015324985029,3.525987841802889,3.525987841802891,3.5259878418029067,1.6830967575883098,-2.683338084599341
0.55,-0.7200843414587649,2.088843790121203,2.088843790121206,2.3328679516930095,2.3342877188149993,2.3407782073754566,2.5195569793892663,2.722606648918542,2.722606648918559,2.722606648918566,2.8089281315799677,2.808928131579971,3.0529522931517743,3.054372060273764,3.0608625488342214,3.239641320848031,3.4426909903773066,3.442690990377324,3.4426909903773306,1.8657048421466134,-2.8357300371358978
0.56,-0.768953419754207,1.8882193227239323,1.888219322723938,2.1322250964766263,2.1335355734683508,2.1405753953087006,2.351566472815686,2.5914518249007474,2.5914518249007568,2.591451824900785,2.6571727424781395,2.657172742478145,2.901178516230833,2.9024889932225575,2.9095288150629077,3.1205198925698934,3.360405244654954,3.360405244654964,3.3604052446549924,2.0761406016691377,-3.0043844365868306
0.5700000000000001,-0.8218772352376049,1.6748531513656866,1.6748531513656877,1.916826154191601,1.9176228504243258,1.9250952132891679,2.1718631220108753,2.457601157458332,2.457601157458337,2.457601157458373,2.4967303866032915,2.496730386603293,2.738703389429206,2.7395000856619305,2.7469724485267726,2.9937403572484804,3.279478392695937,3.2794783926959417,3.279478392695978,2.3213680901072817,-3.1930973929539155
0.58,-0.8794742823404323,1.4472977038274044,1.4472977038274304,1.6848689834426809,1.6853153923283588,1.6925936901124228,1.9771093805208495,2.3209014327466666,2.320901432746688,2.3209014327466897,2.3267719861678366,2.326771986167863,2.5643432657831133,2.5647896746687913,2.5720679724528552,2.856583662861282,3.200375715087099,3.2003757150871204,3.200375715087122,2.6110055990441507,-3.407063161963753
