coupling,10x2,6x2,7x2,8x2,9x2
0.56,0.023576318990518274,0.10014361377279733,0.10014237622270673,0.048588059863169136,0.04858802900155193
0.58,0.020280190955566855,0.09139374020765276,0.09139275418137882,0.04305008614049206,0.04305006347850246
0.6,0.01750620926471224,0.08359117311206438,0.08359038576874903,0.0382521539318217,0.03825213723176711
0.62,0.01516349235063492,0.076617796998448,0.07661716671119168,0.034083479204916986,0.03408346685005463
0.64,0.013178101409605417,0.07037150315044136,0.07037099718235512,0.030451181846168414,0.03045117266760626
0.66,0.011489739127994555,0.06476398040470739,0.06476357302477671,0.027277276799601822,0.027277269950868047
0.68,0.01004910168255708,0.059718781088592146,0.05971845206585729,0.024496164682027637,0.024496159548693743
0.7000000000000001,0.008815758370870102,0.05516964415543906,0.05516937756731739,0.02205254832937096,0.022052544464143356
0.72,0.007756454552494329,0.051059050892492165,0.051058834187989274,0.01989970765797508,0.019899704734142855
0.74,0.006843752794001122,0.04733698644404609,0.047336809710544665,0.017998073213113946,0.017998070991168923
0.76,0.006054943588246927,0.04395988083837257,0.04395973622929264,0.016314047185137313,0.016314045488814342
0.78,0.005371170728588579,0.04088970501348228,0.04088958630211102,0.014819028651634156,0.014819027350684575
0.8,0.004776727605929418,0.038093199763834074,0.038093101995660766,0.01348860696290365,0.013488605960680054
0.8200000000000001,0.004258489707387419,0.035541218142221796,0.0355411373639092,0.012301893398599089,0.01230189262308112
0.84,0.003805455791098834,0.03320816440336654,0.033208097451264774,0.011240966495089356,0.01124096589237794
0.86,0.003408375925497338,0.031071514941047765,0.03107145927593148,0.010290410852998099,0.010290410382584292
0.88,0.0030594491026279913,0.029111408792648792,0.029111362370338255,0.009436932887008871,0.009436932518314796
0.9,0.002752076705469842,0.027310297148633065,0.0273102583185018,0.008669039985006663,0.008669039694852634
0.92,0.002480660926509685,0.02565264291775208,0.025652610342921676,0.007976772004763011,0.007976771775503388
0.9400000000000001,0.0022404394578354214,0.02412466278133648,0.024124635375775208,0.007351476046222162,0.007351475864369317
0.96,0.002027349528371392,0.022714105346536187,0.022714082225346884,0.0067856170760482604,0.006785616931248561
0.98,0.001837915751587595,0.021410060004652513,0.02141004044468748,0.006272618315985319,0.006272618200260195
1.0,0.0016691573458086772,0.020202791941560883,0.020202775350122656,0.005806726394007226,0.005806726301182824
1.02,0.0015185111609061978,0.01908359945532462,0.019083585345231902,0.005382897143416748,0.005382897068698481
1.04,0.0013837676380766882,0.018044690331610526,0.01804467830127721,0.004996698657948404,0.004996698597597127
1.06,0.0012630173814922264,0.0170790745280915,0.017079064245560667,0.0046442288012459145,0.004644228752334997
