coupling,10x2,11x2,12x2,13x2,7x2,8x2,9x2
0.4,0.6783612297930393,0.6783725309976911,0.6350514289635478,0.6350524560978934,0.7739083133450038,0.7245554576473255,0.7246406842607289
0.42,0.6531645070344966,0.6531845797931187,0.6079624400191236,0.6079647735564182,0.7537127915182982,0.7016221769243735,0.7017531418026999
0.44,0.6283772810666005,0.6284114625685311,0.5815931653796732,0.581598016986272,0.7332890098161003,0.6787711815192699,0.6789661595500296
0.46,0.604112962894492,0.6041689991700318,0.5560733612344679,0.556082794287983,0.7126885260894757,0.656086859894746,0.6563686397342912
0.48,0.5804542089090329,0.5805429123187044,0.5314982233244726,0.5315155870760833,0.6919433116527517,0.6336274993378952,0.6340233388955846
0.5,0.557451570979229,0.5575874403400307,0.5079281639531896,0.5079586558050169,0.6710652722625862,0.6114240912168729,0.6119650452754142
0.52,0.5351224799909465,0.535324127784822,0.48538876867771463,0.4854401066918551,0.650046785862417,0.5894799403524502,0.590199257347243
0.54,0.5134503813864237,0.513740515253098,0.46387049637311395,0.463953632574979,0.6288623966827198,0.5677711546925243,0.5687013793341683
0.56,0.49238395861235373,0.49278853182324384,0.4433277244395648,0.44345743781760183,0.6074718409927307,0.5462482012278299,0.5474165877080388
0.58,0.4718365856181258,0.4723825659011779,0.42367684310316434,0.42387189832294075,0.5858245911867985,0.5248388478836443,0.5262607284154082
0.6,0.4516864704831502,0.4523975037335366,0.40479332178692484,0.4050756412812816,0.5638660585664318,0.5034529383144413,0.5051228725895319
0.62,0.4317784097571295,0.4326675497047866,0.38650810465482477,0.3869000646371138,0.5415454528992946,0.48198951071006363,0.48387045322293665
0.64,0.41192864588261924,0.41298744498473833,0.3686044918168212,0.3691230554253427,0.5188250277233515,0.460346685820699,0.4623581319888995
0.66,0.3919348767208617,0.393118766360685,0.35081799349939224,0.35146411791796245,0.4956900428896317,0.438434406368688,0.44044151987928426
0.68,0.3715936709821742,0.37280505334165814,0.33284353557257174,0.33358560873905774,0.47215830560039396,0.41618942524789787,0.4179963223242349
0.7000000000000001,0.35072679982959765,0.3517998199277091,0.31435635792785044,0.31510822368828023,0.4482877399886128,0.39359093452083144,0.3949421186355103
0.72,0.3292155938341717,0.3299096514641658,0.2950533669146803,0.2956518271306451,0.4241802772071976,0.37067412895048996,0.37126776439806486
0.74,0.30703812667338615,0.3070489861800454,0.274717518985365,0.27491091705676984,0.39998064242155296,0.34753828104279905,0.3470528435893071
0.76,0.28429898371626183,0.2832938327176264,0.2532960255121893,0.2527607355617572,0.375869415923504,0.324346156908298,0.3224779807607832
0.78,0.26123871996839104,0.2589127208378661,0.23096570466867689,0.2293625339536199,0.3520509238864083,0.30131317790171885,0.2978177944494066
0.8,0.23821356003396876,0.23435303777291627,0.20814776266196436,0.20520927643234707,0.3287377170888015,0.2786873628627164,0.2734146337173582
0.8200000000000001,0.21564620265802797,0.21017588735826626,0.18544689146981308,0.18105974054623447,0.3061341922821199,0.25672379740017026,0.24963771628064513
0.84,0.19396094818766724,0.18695729632905622,0.1635277055987808,0.15776749772594406,0.28442200550817304,0.23565895065561823,0.2268376888592487
0.86,0.17352292560877314,0.16519091557915794,0.14297853692348528,0.13608149343680653,0.26374931459435347,0.21568988257590396,0.20530792018563615
0.88,0.15459776018634735,0.14522401569426455,0.12421640025999683,0.11650931736276943,0.24422484371608602,0.19696150079367103,0.18526046539976027
0.9,0.13733772162744723,0.1272387409620523,0.10745686261780145,0.09928247089106884,0.22591667952544098,0.17956251804818135,0.16681885633924204
0.92,0.12179024923618675,0.11127025170401292,0.0927375486868412,0.08440121088599353,0.20885490526372857,0.1635286829641868,0.15002479560317059
0.9400000000000001,0.10791961279864043,0.09724404388840308,0.0799679446515093,0.07171202547859021,0.19303679318284278,0.14885078360860257,0.13485331961913802
0.96,0.09563260206963345,0.08501642694043672,0.06898162168578886,0.06098124548322122,0.17843326805407564,0.1354848406058324,0.12123103421835885
0.98,0.08480208580109438,0.0744087264450812,0.059578154281736115,0.05194889077639643,0.16499559059634544,0.12336244999628791,0.10905351955487877
1.0,0.0752855671985521,0.06523196684743454,0.051551494417650945,0.04436150886069842,0.1526615421141544,0.11239999186100263,0.09819980215497959
1.02,0.06693822398254107,0.057302541646847276,0.044706584658149404,0.03798891181618546,0.1413607119923299,0.10250610422664631,0.08854322637046838
1.04,0.05962116286224506,0.05045089440265903,0.0388675322910372,0.03263055561300328,0.1310187413513662,0.09358730957532858,0.07995893305910917
1.06,0.05320603844784336,0.04452541182583157,0.03388044088424412,0.02811607241800364,0.12156054433918075,0.08555196494484588,0.07232855285610736
1.08,0.047577155122743506,0.03939333959103908,0.029613201471678795,0.024302922499563555,0.11291262289557676,0.0783128319138058,0.06554281248775137
1.1,0.04263195669700961,0.03494001636533549,0.02595375476151209,0.021072909224329445,0.10500463061840165,0.07178858677442126,0.05950268461346911
1.12,0.03828056291463864,0.031067272689226197,0.022807733189759948,0.018328489968498812,0.09777034615756412,0.0659045613122667,0.05411958451396859
1.1400000000000001,0.034444799322179934,0.027691509744977347,0.020095988064268863,0.015989330756958357,0.09114820207085446,0.06059295295471591,0.0493149850807177
1.16,0.031057005717978568,0.024741750018044763,0.017752257727124823,0.01398928319258903,0.08508149217290105,0.05579268820684029,0.04501970879618786
1.18,0.028058795266454738,0.022157811235655033,0.015721087875444604,0.012273823014369266,0.07951835576334813,0.05144907431271377,0.04117306825043103
1.2,0.025399861260291694,0.019888670869825244,0.013956035920429448,0.010797923925092268,0.0744116143065697,0.04751333421633685,0.03772196361456525
1.22,0.023036880830622337,0.017891040789250672,0.012418150930496114,0.009524314058088384,0.06971851670933753,0.043942089329444114,0.03462000186153738
1.24,0.020932535880581297,0.0161281463164276,0.011074702482798385,0.008422056139584053,0.06540043367691797,0.04069683215751177,0.03182667350085847
1.26,0.019054654674473787,0.014568691843445294,0.009898125523104432,0.007465395404973053,0.06142252947721766,0.0377434148843927,0.029306603959750023
1.28,0.017375468359329422,0.013185990563111772,0.008865148244616058,0.006632826054131364,0.05775343029897076,0.03505156901205274,0.027028885227027115
1.3,0.01587097224184583,0.011957235324948523,0.007956072753600201,0.005906334688026523,0.05436490167989007,0.032594463771624074,0.024966486591003145
1.32,0.0145203799648453,0.010862889099973003,0.007154182120298578,0.005270786465249115,0.05123154266663273,0.03034830622122108,0.023095739578848053
1.34,0.013305658614742776,0.00988617588154433,0.006445251402666235,0.004713426133662626,0.048330500990244156,0.028291982938364466,0.02139589040734427
1.36,0.012211133503109787,0.009012655431653133,0.005817143947482021,0.0042234714999140645,0.04564121122547452,0.026406741427610486,0.01984871263132278
1.3800000000000001,0.011223152458557881,0.00822986778032121,0.005259477543085003,0.0037917813432904396,0.04314515635994425,0.0246759083888922,0.018438172737317172
1.4000000000000001,0.01032980068372823,0.007527035649320042,0.004763347781580417,0.0034105833777499407,0.04082565220826771,0.023084641545381198,0.017150141865438825
