couplings,var_elec,var_magn,fidel_suscep
0.35,200.16865587127145,-86.19926923256119,95.29191569182284
0.351,190.2340458998298,-81.14472044146297,88.50489315996394
0.352,180.517062871205,-76.26736927553328,81.97645361647812
0.353,171.10106612931537,-71.59874411274986,75.76046633883769
0.354,162.04844119527613,-67.16038037444332,69.89301510723651
0.355,153.40298869801202,-62.96523768259193,64.39503056455088
0.356,145.19256843612447,-59.01915657183649,59.27500724856946
0.357,137.4317709885665,-55.322257336249464,54.531604728781154
0.358,130.1244580016013,-51.87021825605327,50.156005770266404
0.359,123.26607175008941,-48.6553988705198,46.133965132426546
0.36,116.84566195939529,-45.66779546571627,42.447527088464895
0.361,110.8476129052355,-42.89583094375612,39.07642030463407
0.362,105.2530777998192,-40.326990763188206,35.99915722397029
0.363,100.04114242654074,-37.94832190263527,33.193874981772666
0.364,95.18974804629812,-35.74681397216037,30.63895778406461
0.365,90.67640673971935,-33.70968168699659,28.31348008829389
0.366,86.4787422106285,-31.824566721571273,26.19750656391911
0.367,82.57488692774643,-30.07967506570172,24.272280148371905
0.368,78.94376324938783,-28.463863816368093,22.520324929547044
0.369,75.56527250185312,-26.966689124050067,20.92548572035045
0.37,72.42041229759081,-25.578424941121703,19.472921728903085
0.371,69.49133888280018,-24.290060346135768,18.149068467768984
0.372,66.76138822197858,-23.093281629860996,16.941578251636162
0.373,64.21506678079852,-21.980443953562006,15.839247630177116
0.374,61.83802070669125,-20.944536292807552,14.831937744823682
0.375,59.61699017840511,-19.979142464433313,13.910491770178995
0.376,57.539754145983174,-19.078400318358373,13.066652925503421
0.377,55.59506941821186,-18.236960604719226,12.292984705845592
0.378,53.77260705910198,-17.449946589395346,11.582795179801595
0.379,52.0628882591438,-16.712915148857185,10.930065870805253
0.38,50.45722123003844,-16.02181981798355,10.329385724583435
0.381,48.947640205293254,-15.372976077664177,9.775890476817478
0.382,47.526847253017436,-14.763029020324213,9.265207143483762
0.383,46.18815734649036,-14.188923436709176,8.793403624598184
0.384,44.92544692373097,-13.647876289355475,8.356943084626408
0.385,43.73310602632859,-13.137351493820214,7.952642801183448
0.386,42.60599399733419,-12.65503689455726,7.57763718701072
0.387,41.5393986426373,-12.198823303018347,7.229344572511933
0.388,40.528998710144,-11.766785455598939,6.90543748964843
0.389,39.57082951563958,-11.35716474919234,6.603816064899837
0.39,38.66125151261276,-10.968353606408234,6.3225842170015545
0.391,37.796921611333154,-10.598881335846846,6.060028466875894
0.392,36.974767037003495,-10.247401351580967,5.814598950689885
0.393,36.19196153374556,-9.912679631167256,5.58489254895201
0.394,35.445903714039744,-9.593584291870618,5.369637784106796
0.395,34.734197381759174,-9.289076184201042,5.16768135581127
0.396,34.054633644540615,-8.998200397590132,4.9779761304575505
0.397,33.40517467086099,-8.720078596965656,4.799570440535126
0.398,32.7839389258848,-8.453902098815462,4.631598493030188
0.399,32.18918776874344,-8.198925623351442,4.473271844492825
0.4,31.619313269878518,-7.954461646765935,4.323871728319086
0.405,30.064167815858738,-7.286284316603536,3.926903904165075
0.41000000000000003,27.812920039061215,-6.316357803996903,3.384755783712871
0.41500000000000004,25.934729734707297,-5.503799041474794,2.961087543780533
0.42000000000000004,24.343739623967387,-4.812543545632049,2.622992475794306
0.42500000000000004,22.978257033037842,-4.216744210707898,2.3481961059350014
0.43,21.79306599325579,-3.6974521915063385,2.121260414200848
0.435,20.754397424398956,-3.24047786211423,1.931243293277491
0.44,19.836580311953593,-2.83498453748052,1.7702241047022211
0.445,19.01977329308762,-2.472545602169516,1.6323552963381984
0.45,18.288402143106435,-2.14650012770967,1.5132400322401698
0.455,17.6300660219418,-1.85150425812388,1.4095158401493773
0.46,17.03475994516593,-1.5832132674359998,1.3185709206057852
0.465,16.494313847427108,-1.3380523387935372,1.238347436314152
0.47000000000000003,16.001982172453197,-1.1130485812872228,1.1672028206352703
0.475,15.552139538859125,-0.9057059880797617,1.1038104270577642
0.48,15.140052164247905,-0.7139109718096386,1.047087290574932
0.485,14.761704089167425,-0.5358599955396666,0.9961408282231773
0.49,14.41366351348171,-0.3700033901290919,0.9502289971407615
0.495,14.092978871622451,-0.21500120694053473,0.9087301051681744
0.5,13.797097143809355,-0.069688104652954,35568.98983704959
